,Smiles_A,Smiles_B,natoms,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi
818,Cc(c(C)nn1C)c1O,CC1=C(C)NN(C)C1=O,9.0,-1930.7731558062467,-1930.8367145828327,0.0635587765859782,-1932.8264038278974,-1932.3056211025528,-0.5207827253445885,-2.0532480216506883,-1.4689065197201217,0.5843415019305667
819,Cc(c(C)nn1-c2ccccc2)c1O,CC(C1=O)=C(C)NN1c1ccccc1,14.0,-2884.8109413840684,-2884.385765305811,-0.42517607825720916,-2887.7883935165546,-2886.3015543935144,-1.4868391230402267,-2.977452132486178,-1.9157890877031605,1.0616630447830175
820,Cc1c(C)onc1O,CC1=C(C)ONC1=O,8.0,-1554.739143505277,-1554.8270828117252,0.08793930644810644,-1554.1517638897406,-1554.144971112485,-0.006792777255441251,0.5873796155365199,0.6821116992400675,0.09473208370354769
821,Nc1cc(O)no1,NC(ON1)=CC1=O,7.0,-1121.2538568064238,-1121.4168806563732,0.16302384994946806,-1126.3380308077824,-1126.7946021417927,0.4565713340102775,-5.084174001358633,-5.377721485419443,-0.29354748406080944
822,O=C(C1)ON=C1c1ccccc1,O=C1ONC(c2ccccc2)=C1,12.0,-2217.3169336406786,-2217.3459723920582,0.029038751379630412,-2210.3163902592305,-2206.778431225395,-3.5379590338357048,7.000543381448097,10.567541166663432,3.566997785215335
823,CCOC(C(C(c1ccccc1)=NO1)C1=O)=O,CCOC(C1=C(c2ccccc2)NOC1=O)=O,17.0,-3185.2469852838362,-3185.938779358323,0.6917940744865518,-3182.900970834633,-3177.904041911613,-4.996928923019823,2.346014449203267,8.034737446709642,5.688722997506375
824,COCc1c(O)onc1-c1ccccc1,COCC1=C(c2ccccc2)NOC1=O,15.0,-2892.1532281255963,-2893.0113026199574,0.8580744943610625,-2894.667040490607,-2891.4472136320173,-3.2198268585898404,-2.5138123650108355,1.5640889879400675,4.077901352950903
825,NC(C1)=NOC1=O,NC(NO1)=CC1=O,7.0,-1135.9940756834046,-1136.058090712437,0.06401502903236178,-1128.5873906002396,-1128.327286193361,-0.2601044068785541,7.40668508316503,7.730804519075946,0.32411943591091585
826,CCC(C(N)=NO1)C1=O,CCC1=C(N)NOC1=O,9.0,-1730.2095646582654,-1730.404252825891,0.19468816762559982,-1724.666747120003,-1723.8459872337135,-0.8207598862895793,5.542817538262398,6.558265592177577,1.0154480539151791
827,NC(C1c2ccccc2)=NOC1=O,NC(NOC1=O)=C1c1ccccc1,13.0,-2385.4928364014772,-2384.1723372226274,-1.3204991788497864,-2383.5085077453423,-2382.913676635482,-0.594831109860479,1.9843286561349487,1.2586605871456413,-0.7256680689893074
828,CN(C=CC(N1)=N)C1=O,CN(C=CC(N)=N1)C1=O,9.0,-1696.2710243196439,-1695.6037126892688,-0.6673116303750248,-1697.9993604858716,-1697.744878379171,-0.2544821067006069,-1.7283361662277912,-2.141165689902209,-0.41282952367441794
829,CN(C=C/C(/N1)=N\N)C1=O,CN(C=CC(NN)=N1)C1=O,10.0,-1842.679668861936,-1841.4637197466275,-1.2159491153086037,-1844.72989919048,-1844.722267794506,-0.007631395973930921,-2.0502303285438757,-3.2585480478785485,-1.2083177193346728
830,CN(C=C/C(/N1)=N\O)C1=O,CN(C=CC(NO)=N1)C1=O,10.0,-1765.3415892487146,-1764.0545101950045,-1.2870790537101584,-1759.4927096121296,-1760.2074494739359,0.7147398618062653,5.848879636585025,3.847060721068601,-2.0018189155164237
