,Smiles_A,Smiles_B,natoms,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi
64,c1c[nH]nc1-c1ccccc1,c1c(-c2ccccc2)[nH]nc1,11.0,-2101.024822270998,-2098.1002379608153,-2.9245843101825812,-2100.5752690404506,-2098.5685941467286,-2.0066748937219927,0.4495532305472807,-0.46835618591330785,-0.9179094164605885
65,Cc1cc(-c2ccccc2)n[nH]1,Cc1n[nH]c(-c2ccccc2)c1,12.0,-2383.0020481802367,-2380.561419960022,-2.440628220214876,-2382.7167061385308,-2381.2989665908813,-1.4177395476494894,0.2853420417059169,-0.7375466308594696,-1.0228886725653865
66,Oc1cc2ccccc2cn1,O=C1NC=C(C=CC=C2)C2=C1,11.0,-2054.9829473916725,-2052.818710350037,-2.1642370416357153,-2053.942892156831,-2057.2337855300902,3.290893373259223,1.0400552348414749,-4.4150751800534636,-5.455130414894938
67,Cc1nc(O)cc2ccccc12,CC(N1)=C(C=CC=C2)C2=CC1=O,12.0,-2340.6153218393642,-2336.655754623413,-3.9595672159512105,-2335.2016884670625,-2336.2347266921997,1.0330382251372612,5.413633372301774,0.4210279312133025,-4.992605441088472
68,CCOC(C(C(C)=NO1)C1=O)=O,CCOC(C1=C(C)NOC1=O)=O,12.0,-2128.9704879663836,-2133.0084326019287,4.0379446355450455,-2131.63569806294,-2147.588350112915,15.952652049975313,-2.665210096556166,-14.579917510986434,-11.914707414430268
69,CC(C)=O,CC(O)=C,4.0,-927.815763380049,-929.1367720985412,1.3210087184921804,-911.8216318656848,-915.8441303329467,4.022498467261926,15.994131514364199,13.292641765594453,-2.7014897487697453
70,CC(C)C(C)=O,CC(C)C(O)=C,6.0,-1483.466323081414,-1483.480215522766,0.013892441352027163,-1467.2106641639596,-1470.1470192489624,2.9363550850027877,16.25565891745441,13.333196273803651,-2.9224626436507606
71,CC(C)(C)C(C)=O,CC(C)(C)C(O)=C,7.0,-1759.8155267664674,-1759.8881313400268,0.07260457355937433,-1743.7902799678452,-1747.1867408752441,3.3964609073989322,16.02524679862222,12.701390464782662,-3.323856333839558
72,O=C1CCCCC1,OC1=CCCCC1,7.0,-1641.7222495846436,-1641.7175726623534,-0.0046769222901730245,-1630.430011905869,-1629.6866951293946,-0.7433167764743303,11.292237678774654,12.030877532958812,0.7386398541841572
73,O=C(CCC1)c2c1cccc2,OC1=CCCc2c1cccc2,11.0,-2288.436626081293,-2286.162136985779,-2.2744890955141273,-2275.709717390258,-2274.740368812561,-0.9693485776970192,12.726908691035078,11.42176817321797,-1.305140517817108
74,O=C1CCCC1,OC1=CCCC1,6.0,-1362.896192336988,-1362.8686449279785,-0.027547409009457624,-1349.1851742997083,-1348.9382153434753,-0.24695895623290198,13.7110180372797,13.930429584503145,0.21941154722344436
