,Unnamed: 0,Smiles_A,Smiles_B,natoms,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi,n_atoms
362,362,C(CC1)CCC1Nc1ccnc2c3ncccc3ccc12,C(CC1)CCC1/N=C1\c2ccc(cccn3)c3c2NC=C1,21.0,-4560.137900524816,-4487.694668792725,-72.4432317320916,-4550.095324551749,-4482.29326574707,-67.80205880467838,10.04257597306787,5.401403045654662,-4.6411729274132085,21
363,363,c(cc1)ccc1Nc1ccnc2c3ncccc3ccc12,c(cc1)ccc1/N=C1\c2ccc(cccn3)c3c2NC=C1,21.0,-4161.374807604854,-4090.6250390625,-70.7497685423541,-4156.293809824572,-4080.299738113403,-75.994071711169,5.080997780281906,10.325300949096802,5.244303168814895,21
364,364,Nc1cnncc1,N=C1C=NNC=C1,7.0,-1275.57594609181,-1275.8626863212585,0.2867402294484691,-1264.9919463507104,-1264.9531717300415,-0.03877462066907356,10.583999741099431,10.909514591216977,0.32551485011754266,7
365,365,Nc1cnnc2ccccc12,N=C1c(cccc2)c2NN=C1,11.0,-2078.462640430399,-2061.326008117676,-17.136632312723123,-2075.214061425508,-2063.0773294830324,-12.136731942475762,3.248579004890871,-1.7513213653564892,-4.99990037024736,11
366,366,O=C1C=CNC=C1,[O-]c1cc[nH+]cc1,7.0,-1353.1859942777878,-1352.7029228897095,-0.4830713880783151,-1353.1862164222466,-1352.6770594940185,-0.5091569282278671,-0.00022214445857571263,0.025863395690976176,0.02608554014955189,7
367,367,Nc1c(cccc2)c2nc2ccccc12,N=C1c(cccc2)c2Nc2c1cccc2,15.0,-3027.1776843988036,-2985.373761245728,-41.80392315307608,-3027.581260002555,-2989.1287040405273,-38.45255596202787,-0.4035756037515057,-3.754942794799717,-3.351367191048212,15
368,368,CC(C)C(/C(/C)=N/C)/C(/C)=N/C,CC(C)/C(/C(/C)=N/C)=C(\C)/NC,12.0,-3144.259045867057,-3145.3327056427,1.0736597756435913,-3137.779581600404,-3143.315360778809,5.535779178404481,6.479464266652485,2.0173448638915943,-4.462119402760892,12
369,369,CC(C)C(/C(/C)=N/c1ccccc1)/C(/C)=N/c1ccccc1,CC(C)/C(/C(/C)=N/c1ccccc1)=C(\C)/Nc1ccccc1,22.0,-5078.785309716703,-5043.42268359375,-35.362626122952854,-5069.7261302195975,-5034.747713607788,-34.978416611808825,9.059179497106015,8.674969985961981,-0.3842095111440358,22
370,370,CC1=CN=C(/C(/CCC2)=C\Nc3ccccc3)N2C1=O,CC1=CN=C(C(CCC2)/C=N/c3ccccc3)N2C1=O,20.0,-4204.239204050031,-4163.669602386474,-40.56960166355657,-4197.3917756927995,-4155.1522759552,-42.23949973759864,6.847428357232275,8.517326431274341,1.6698980740420666,20
371,371,CC/N=C(\C)/C/N=N/CC,CCN/N=C\C(\C)=N\CC,10.0,-2406.2888796205016,-2407.855571662903,1.5666920424014281,-2412.3692983987385,-2413.954054801941,1.5847564032023909,-6.08041877823689,-6.098483139037852,-0.018064360800963183,10
