,natoms,CH,CN,CO,CC,NN,NO,NH,OH
83,15,11,2,1,13,0,0,0,0
84,15,11,2,1,13,0,0,0,0
85,15,11,2,1,13,0,0,0,0
86,15,10,4,1,11,0,0,0,0
87,14,11,2,1,12,0,0,0,0
88,19,12,4,1,16,0,0,0,0
89,17,11,2,4,12,0,0,0,0
90,19,13,2,1,18,0,0,0,0
91,19,15,2,4,14,0,0,0,0
92,10,9,2,1,7,0,0,0,0
93,17,11,5,4,8,1,0,0,0
94,13,15,2,1,10,0,0,0,0
95,6,8,0,3,2,0,0,0,0
96,5,5,0,2,2,0,0,0,1
97,4,3,1,1,1,0,0,2,0
98,5,6,2,1,1,0,0,1,0
99,11,6,0,3,8,0,0,0,2
100,12,6,1,2,9,0,0,0,1
101,8,5,0,2,6,0,0,0,1
102,12,7,0,2,11,0,0,0,1
103,8,8,0,4,3,0,0,0,0
104,8,4,2,2,4,0,0,1,0
105,6,6,0,2,3,0,0,0,0
106,8,8,0,2,6,0,0,0,0
107,9,6,0,2,7,0,0,0,0
108,8,8,0,2,6,0,0,0,0
109,7,6,0,2,5,0,0,0,0
110,8,6,0,4,4,0,0,0,0
111,11,6,0,2,10,0,0,0,0
112,7,4,0,4,3,0,0,0,0
113,7,4,0,4,3,0,0,0,0
114,9,8,0,4,5,0,0,0,0
115,9,8,2,2,5,0,0,1,0
116,8,12,0,1,6,0,0,0,0
117,8,8,0,1,7,0,0,0,0
118,7,6,0,1,6,0,0,0,0
119,7,6,0,1,6,0,0,0,0
120,11,8,0,1,11,0,0,0,0
121,11,8,0,1,11,0,0,0,0
122,15,10,0,1,16,0,0,0,0
123,23,14,0,1,26,0,0,0,0
124,11,6,2,2,8,0,0,1,0
125,17,20,6,1,12,0,0,0,0
126,9,12,2,1,5,0,0,0,1
127,13,18,2,1,9,0,0,0,1
128,10,13,3,1,6,0,0,0,0
129,8,3,2,2,4,0,0,1,1
130,10,6,0,3,8,0,0,0,0
131,16,10,0,3,15,0,0,0,0
132,10,6,0,3,8,0,0,0,0
133,10,6,2,1,8,0,0,1,0
134,6,4,0,3,3,0,0,0,0
135,6,4,2,1,3,0,0,1,0
136,7,7,3,1,3,0,0,0,0
137,10,6,0,3,8,0,0,0,0
138,10,6,2,1,8,0,0,1,0
139,11,9,3,1,8,0,0,0,0
140,18,11,2,3,15,0,0,0,0
141,8,7,2,3,3,0,0,0,0
142,10,12,5,1,4,0,0,0,0
143,19,14,5,1,15,0,0,0,0
144,8,7,4,1,3,0,0,1,0
145,10,12,5,1,4,0,0,0,0
146,18,11,2,3,15,0,0,0,0
147,8,7,1,2,4,0,1,0,0
148,9,10,3,1,4,1,0,0,0
149,7,4,3,1,1,2,0,0,1
150,7,4,3,1,1,2,0,0,1
151,8,7,2,3,3,0,0,0,0
152,8,5,6,1,1,0,0,2,0
153,12,14,0,1,11,0,0,0,0
154,16,9,0,2,16,0,0,0,1
155,7,11,2,0,5,0,0,0,0
156,6,9,2,0,4,0,0,0,0
157,11,13,2,0,9,0,0,0,0
158,11,12,4,0,7,0,0,0,0
159,18,11,4,1,15,0,0,1,0
160,11,11,2,0,10,0,0,0,0
161,16,12,7,0,10,1,0,0,0
162,18,14,7,2,10,1,0,0,0
163,7,9,2,1,3,0,0,0,0
164,9,6,4,1,3,1,0,1,0
165,9,10,2,1,6,0,0,1,0
166,8,8,1,1,4,0,1,0,1
167,8,10,1,0,4,1,1,1,1
168,7,7,2,0,5,0,0,0,0
169,7,11,2,0,5,0,0,0,0
170,7,7,2,0,5,0,0,0,0
171,7,9,2,0,5,0,0,0,0
172,11,9,2,0,10,0,0,0,0
173,11,11,2,0,10,0,0,0,0
