,n_atoms,n_C,n_N,n_O,n_H
1117,18,14,3,1,9
1118,14,10,3,1,7
1119,14,9,4,1,6
1120,14,9,4,1,6
1121,14,8,5,1,5
1122,10,6,3,1,5
1123,10,4,5,1,3
1124,10,5,4,1,4
1125,10,5,4,1,4
1126,8,4,2,2,4
1127,11,8,2,1,6
1128,7,3,3,1,3
1129,7,3,3,1,3
1130,7,3,3,1,3
1131,7,3,3,1,3
1132,11,8,2,1,6
1133,11,8,2,1,6
1134,11,7,3,1,5
1135,6,3,2,1,4
1136,7,4,2,1,6
1137,12,9,2,1,8
1138,6,3,1,2,3
1139,7,4,1,2,5
1140,8,5,2,1,8
1141,9,6,2,1,10
1142,14,11,2,1,12
1143,7,4,1,2,5
1144,8,5,2,1,8
1145,8,5,2,1,8
1146,7,4,1,2,5
1147,7,4,2,1,8
1148,7,4,1,2,7
1149,6,3,2,1,6
1150,6,3,1,2,5
1151,7,3,2,2,4
1152,8,4,2,2,6
1153,8,3,3,2,3
1154,8,3,3,2,3
1155,8,5,1,2,7
1156,7,4,1,2,3
1157,10,8,1,1,9
1158,5,4,0,1,6
1159,5,3,1,1,3
1160,7,6,0,1,6
1161,8,6,0,2,6
1162,11,8,1,2,5
1163,14,11,0,3,8
1164,7,5,0,2,8
1165,7,3,0,4,4
1166,9,6,0,3,6
1167,8,5,1,2,5
1168,10,8,0,2,12
1169,11,7,0,4,8
1170,11,7,2,2,12
1171,10,7,2,1,10
1172,10,8,1,1,11
1173,9,7,1,1,7
1174,13,8,2,3,6
1175,9,7,0,2,10
1176,9,7,0,2,10
1177,16,14,0,2,10
1178,11,9,0,2,8
1179,12,9,0,3,8
1180,9,7,1,1,11
1181,14,12,1,1,13
1182,8,6,1,1,9
1183,11,7,2,2,10
1184,10,7,2,1,6
1185,10,7,1,2,5
1186,12,9,1,2,7
1187,13,10,1,2,9
1188,12,9,2,1,8
1189,13,10,2,1,10
1190,18,15,2,1,12
1191,7,4,2,1,6
1192,8,5,2,1,8
1193,13,10,2,1,10
1194,6,3,2,1,4
1195,11,6,3,2,9
1196,6,2,3,1,3
1197,11,8,2,1,6
1198,7,3,3,1,3
1199,7,4,2,1,4
1200,7,4,2,1,4
1201,11,8,2,1,6
1202,8,5,1,2,5
1203,8,5,1,2,5
1204,12,9,1,2,7
1205,12,9,1,2,7
1206,12,9,1,2,7
1207,8,5,1,2,5
1208,12,9,1,2,7
1209,8,4,2,2,4
1210,8,4,2,2,4
1211,8,4,2,2,4
1212,12,9,1,2,7
1213,8,4,2,2,4
1214,12,8,2,2,6
1215,8,4,2,2,4
1216,11,6,4,1,6
1217,8,7,1,0,13
1218,6,5,1,0,11
1219,11,10,1,0,13
1220,6,4,2,0,10
1221,6,4,1,1,7
1222,8,6,2,0,14
1223,10,7,3,0,15
1224,13,10,3,0,21
1225,7,5,1,1,9
1226,8,6,1,1,11
1227,7,5,1,1,9
1228,10,8,2,0,8
1229,12,10,1,1,9
1230,7,4,2,1,8
1231,8,3,4,1,4
1232,8,4,3,1,5
1233,8,4,3,1,5
1234,8,3,4,1,4
1235,8,4,4,0,4
1236,8,2,6,0,2
1237,10,5,4,1,6
1238,10,5,4,1,6
1239,10,4,5,1,3
1240,10,4,5,1,3
1241,12,8,3,1,9
1242,10,6,2,2,4
1243,10,6,2,2,4
1244,7,3,2,2,4
1245,7,3,3,1,5
1246,7,3,2,2,4
1247,7,3,3,1,5
1248,8,4,2,2,6
1249,7,3,3,1,5
1250,6,3,2,1,4
1251,6,3,2,1,4
1252,7,3,3,1,5
1253,11,7,3,1,5
1254,11,9,1,1,9
1255,5,3,1,1,7
1256,5,3,1,1,7
